type,n_stocks,mean_slope,median_slope,ci_lo,ci_hi,t_stat,share_correct_sign
Open,7793,0.00720619338771712,0.000609405815352832,0.00186655122306281,0.0125458355523714,2.64550944195206,0.505453612216091
High,7793,0.0802360994461985,0.0671819262782401,0.073125279329199,0.0873469195631979,22.1190093638785,0.651225458745028
Low,7793,-0.0881569275965262,-0.0740740740740741,-0.0947755763406304,-0.0815382788524221,-26.1097473514135,0.655460028230463
Close,7793,0.0025590672486582,0.0011190889299535,-0.0046726907728919,0.00979082527020829,0.693670730187407,0.508148338252278
