filter,type,n_stocks,log_ratio,ci_lo,ci_hi,ratio
All stock-days,Open,8653,0.00522272917113386,-0.00643070174101746,0.0168761600832852,1.00523639139548
All stock-days,High,8622,0.32121675612347,0.307862758338815,0.334570753908124,1.3788044128053
All stock-days,Low,8610,-0.337451345839614,-0.351204285290525,-0.323698406388703,0.713586692823307
All stock-days,Close,8644,0.0153614590464165,0.00362293692821515,0.0270999811646179,1.01548005273765
Range >= $0.20,Open,6651,0.00143947002307781,-0.0119533304133398,0.0148322704594955,1.00144050655735
Range >= $0.20,High,6576,0.412825497215362,0.397046580758502,0.428604413672222,1.51108131502823
Range >= $0.20,Low,6588,-0.446709772152119,-0.463017719131972,-0.430401825172265,0.639729548664627
Range >= $0.20,Close,6651,0.026602845277473,0.0130481784236167,0.0401575121313293,1.02695985980245
