volume_range,n,Open,High,Low,Close
0-10 thousand,2264201,0.089126804554896,0.0873217527949153,0.0874750077400372,0.0807640311085456
1 million-10 million,1457210,0.0524955222651505,0.0326795726079289,0.031366789961639,0.0276487259900769
10 thousand-100 thousand,2864302,0.0577707937221704,0.0549191391131243,0.0559441706914983,0.0469224264759791
100 thousand-1 million,3143346,0.0467285497683042,0.0364385594204392,0.0363370752058475,0.0311604258646678
Above 10 million,140730,0.0445036594898032,0.0303844240744688,0.0284658566048462,0.0259290840616784
