cent,n,series,share
33,30963,Close (as traded),0.00977531889045727
34,29808,Close (as traded),0.00941067420749766
35,33497,Close (as traded),0.0105753272251929
36,30490,Close (as traded),0.00962598821076905
37,28833,Close (as traded),0.00910285726733696
38,30556,Close (as traded),0.00964682504979531
39,29972,Close (as traded),0.0094624505953811
40,38766,Close (as traded),0.0122388015407895
41,29852,Close (as traded),0.00942456543351517
42,30996,Close (as traded),0.0097857373099704
43,29430,Close (as traded),0.00929133594761998
44,30850,Close (as traded),0.00973964369636685
45,32596,Close (as traded),0.0102908728015162
46,29362,Close (as traded),0.00926986768922928
47,29937,Close (as traded),0.00945140075650354
48,30760,Close (as traded),0.0097112298249674
49,31018,Close (as traded),0.00979268292297915
50,43708,Close (as traded),0.0137990387903015
51,31009,Close (as traded),0.00978984153583921
52,30725,Close (as traded),0.00970017998608983
53,30240,Close (as traded),0.00954706079021502
54,28919,Close (as traded),0.00913000830000754
55,32835,Close (as traded),0.0103663274155658
56,31198,Close (as traded),0.00984951066577805
57,29556,Close (as traded),0.0093311153675792
58,30752,Close (as traded),0.00970870414750967
59,29364,Close (as traded),0.00927049910859371
60,38269,Close (as traded),0.0120818938287281
61,29475,Close (as traded),0.0093055428833197
62,30474,Close (as traded),0.00962093685585359
63,28593,Close (as traded),0.0090270869436051
64,29963,Close (as traded),0.00945960920824116
65,33456,Close (as traded),0.010562383128222
66,29761,Close (as traded),0.00939583585243351
67,30715,Close (as traded),0.00969702288926767
68,30289,Close (as traded),0.00956253056464361
69,30334,Close (as traded),0.00957673750034333
70,35622,Close (as traded),0.0112462102999021
71,29188,Close (as traded),0.00921493420452368
72,31302,Close (as traded),0.00988234447272852
73,29459,Close (as traded),0.00930049152840424
74,30819,Close (as traded),0.00972985669621815
75,36461,Close (as traded),0.0115110907232814
76,31262,Close (as traded),0.00986971608543988
77,29731,Close (as traded),0.00938636456196702
78,30856,Close (as traded),0.00974153795446014
79,29205,Close (as traded),0.00922030126912135
80,37589,Close (as traded),0.0118672112448212
81,30527,Close (as traded),0.00963766946901104
82,29957,Close (as traded),0.00945771495014786
83,30376,Close (as traded),0.00958999730699641
84,30310,Close (as traded),0.00956916046797015
85,33707,Close (as traded),0.0106416262584583
86,30036,Close (as traded),0.00948265601504293
87,28978,Close (as traded),0.0091486351712583
88,31309,Close (as traded),0.00988455444050404
89,29583,Close (as traded),0.00933963952899904
90,36734,Close (as traded),0.0115972794665264
91,29699,Close (as traded),0.00937626185213611
92,31677,Close (as traded),0.0100007356035596
93,29735,Close (as traded),0.00938762740069589
94,31006,Close (as traded),0.00978889440679256
95,32783,Close (as traded),0.0103499105120906
96,30427,Close (as traded),0.00960609850078943
97,30620,Close (as traded),0.00966703046945714
98,31134,Close (as traded),0.00982930524611622
99,32441,Close (as traded),0.0102419378007727
