cent,n,type,share
21,81474,High,0.00825488771847098
22,89828,High,0.00910130905534049
23,87195,High,0.0088345353684866
24,97495,High,0.00987812404094961
25,128561,High,0.0130257090602443
26,86333,High,0.00874719814172319
27,84917,High,0.00860373002908168
28,93434,High,0.00946666640999113
29,87690,High,0.00888468841633798
30,126534,High,0.0128203348622752
31,83887,High,0.00849937116183538
32,89253,High,0.00904305046440203
33,88986,High,0.00901599821434886
34,87624,High,0.00887800134329113
35,106194,High,0.0107595005323822
36,88876,High,0.00900485309260411
37,83536,High,0.00846380809154076
38,93623,High,0.00948581575553439
39,91525,High,0.00927324788807542
40,153260,High,0.0155281941690952
41,82804,High,0.00838964237229388
42,89315,High,0.00904933226029452
43,86325,High,0.00874638758741448
44,94635,High,0.00958835087558609
45,104792,High,0.0106174508897809
46,83683,High,0.00847870202696329
47,90696,High,0.00918925419783544
48,95620,High,0.00968815037484591
49,99715,High,0.0101030528616164
50,192421,High,0.019495958829515
51,82102,High,0.00831851623170465
52,85568,High,0.00866968888595288
53,84270,High,0.00853817644936482
54,84457,High,0.0085571231563309
55,100223,High,0.0101545230602194
56,87670,High,0.00888266203056621
57,84098,High,0.00852074953172758
58,89571,High,0.00907526999817321
59,86780,High,0.00879248786372232
60,150215,High,0.0152196769353428
61,80486,High,0.00815478426134541
62,86452,High,0.00875925513706524
63,82036,High,0.0083118291586578
64,90119,High,0.00913079296831979
65,103772,High,0.0105141052154205
66,84734,High,0.00858518859926995
67,88315,High,0.00894801297170588
68,92320,High,0.00935379672250339
69,91226,High,0.00924295342078742
70,127464,High,0.0129145618006626
71,81330,High,0.00824029774091422
72,92147,High,0.00933626848557755
73,86041,High,0.00871761290945531
74,94348,High,0.00955927223976115
75,128182,High,0.0129873090498693
76,89005,High,0.00901792328083204
77,86347,High,0.00874861661176343
78,91858,High,0.00930698721117544
79,88376,High,0.00895419344830979
80,153982,High,0.0156013466954562
81,83120,High,0.00842165926748789
82,86951,High,0.00880981346207097
83,87756,High,0.00889137548938483
84,91827,High,0.00930384631322919
85,108945,High,0.0110382298952896
86,86532,High,0.00876736068015233
87,85239,High,0.00863635484000722
88,99540,High,0.0100853219861134
89,92802,High,0.00940263261960311
90,134421,High,0.0136194400913738
91,84085,High,0.00851943238097593
92,93384,High,0.0094616004455617
93,88907,High,0.00900799399055036
94,95131,High,0.00963860524272606
95,110184,High,0.0111637644938509
96,90211,High,0.00914011434286994
97,93153,High,0.00943819568989773
98,100969,High,0.0102301072495065
99,113095,High,0.0114587049429324
0,326653,Low,0.0330962495753455
1,115273,Low,0.0116793783534785
2,101571,Low,0.0102911014612369
3,95321,Low,0.0096578559075579
4,90382,Low,0.0091574399412186
5,111192,Low,0.0112658943367482
6,96268,Low,0.00975380527385134
7,89091,Low,0.00902663673965066
8,94332,Low,0.00955765113114374
9,83056,Low,0.00841517483301821
10,136899,Low,0.0138705092884964
11,95472,Low,0.00967315512013479
12,99490,Low,0.0100802560216839
13,87240,Low,0.00883909473647309
14,85826,Low,0.00869582926240875
15,110843,Low,0.0112305339050308
16,93548,Low,0.00947821680889024
17,87746,Low,0.00889036229649894
18,87809,Low,0.00889674541168003
19,82985,Low,0.00840798116352842
20,155294,Low,0.0157342776020845
21,90236,Low,0.00914264732508466
22,92460,Low,0.0093679814229058
23,84906,Low,0.0086026155169072
24,87521,Low,0.0088675654565665
25,130059,Low,0.0131774853545501
26,95182,Low,0.00964377252644408
27,87024,Low,0.00881720977013794
28,92322,Low,0.00935399936108057
29,79916,Low,0.00809703226684988
30,130301,Low,0.0132020046223886
31,92575,Low,0.00937963314109349
32,91974,Low,0.00931874024865172
33,89129,Low,0.00903048687261703
34,83258,Low,0.00843564132931312
35,105698,Low,0.0107092461652422
36,92263,Low,0.00934802152305384
37,81627,Low,0.00827038956962504
38,88866,Low,0.00900383989971822
39,81159,Low,0.00822297214256556
40,152005,Low,0.0154010384619165
41,89048,Low,0.00902228001024135
42,90096,Low,0.00912846262468225
43,83578,Low,0.00846806350166149
44,86732,Low,0.00878762453787006
45,100358,Low,0.0101682011641789
46,82853,Low,0.00839460701743472
47,84443,Low,0.00855570468629066
48,83946,Low,0.0085053489998621
49,78577,Low,0.00796136573942969
50,195583,Low,0.0198163304200323
51,103515,Low,0.0104880661582532
52,95386,Low,0.00966444166131616
53,87996,Low,0.0089156921186461
54,80980,Low,0.00820483598990819
55,106090,Low,0.010748963326369
56,94196,Low,0.00954387170789568
57,84323,Low,0.00854354637166002
58,87169,Low,0.0088319010669833
59,79551,Low,0.00806005072651503
60,156044,Low,0.015810267068526
61,91324,Low,0.0092528827110691
62,91979,Low,0.00931924684509466
63,82893,Low,0.00839865978897827
64,85900,Low,0.00870332688976431
65,107895,Low,0.0109318446422715
66,89726,Low,0.00909097448790445
67,87788,Low,0.00889461770661967
68,89726,Low,0.00909097448790445
69,83096,Low,0.00841922760456176
70,127197,Low,0.0128875095506094
71,87761,Low,0.00889188208582777
72,92817,Low,0.00940415240893194
73,83066,Low,0.0084161880259041
74,83907,Low,0.00850139754760715
75,129967,Low,0.01316816398
76,96475,Low,0.00977477836658919
77,87188,Low,0.00883382613346648
78,88768,Low,0.00899391060943653
79,79132,Low,0.00801759794459638
80,154863,Low,0.0156906089887028
81,93897,Low,0.00951357724060768
82,91117,Low,0.00923190961833125
83,87274,Low,0.0088425395922851
84,86356,Low,0.00874952848536073
85,109020,Low,0.0110458288419337
86,89480,Low,0.00906604994291165
87,82005,Low,0.00830868826071155
88,95515,Low,0.0096775118495441
89,82387,Low,0.00834739222895241
90,132161,Low,0.0133904584991635
91,90543,Low,0.00917375234668137
92,93499,Low,0.0094732521637494
93,84606,Low,0.00857221973033061
94,84688,Low,0.00858052791199488
95,103234,Low,0.0104595954381598
96,87727,Low,0.00888843723001576
97,83959,Low,0.00850666615061376
98,83285,Low,0.00843837695010501
99,82332,Low,0.00834181966808004
0,387643,Open,0.0392757129863668
1,100017,Open,0.0101336512867702
2,91106,Open,0.00923079510615678
3,88852,Open,0.00900242142967798
4,89743,Open,0.00909269691581046
5,107509,Open,0.0108927353968763
6,90572,Open,0.00917669060605044
7,86895,Open,0.00880413958191001
8,92498,Open,0.00937183155587217
9,86787,Open,0.00879319709874244
10,134649,Open,0.013642540889172
11,88529,Open,0.00896969529946385
12,93723,Open,0.00949594768439325
13,85659,Open,0.00867890894121445
14,86842,Open,0.00879876965961481
15,108782,Open,0.0110217148512496
16,89933,Open,0.0091119475806423
17,87378,Open,0.00885307679829832
18,88914,Open,0.00900870322557047
19,87846,Open,0.00890049422535781
20,159179,Open,0.0161279030382514
21,85779,Open,0.00869106725584508
22,88654,Open,0.00898236021053743
23,85550,Open,0.00866786513875828
24,91302,Open,0.00925065368672015
25,132452,Open,0.0134199424121428
26,88690,Open,0.00898600770492662
27,84930,Open,0.00860504717983333
28,91258,Open,0.00924619563802225
29,83732,Open,0.00848366667210414
30,131045,Open,0.0132773861730985
31,86670,Open,0.00878134274197756
32,88853,Open,0.00900252274896657
33,86838,Open,0.00879836438246046
34,84728,Open,0.00858458068353842
35,105095,Open,0.0106481506342233
36,89045,Open,0.00902197605237559
37,83068,Open,0.00841639066448128
38,88985,Open,0.00901589689506027
39,85447,Open,0.00865742925203366
40,155544,Open,0.0157596074242317
41,84978,Open,0.00860991050568558
42,87157,Open,0.00883068523552023
43,83054,Open,0.00841497219444104
44,89054,Open,0.00902288792597288
45,102474,Open,0.0103825927788325
46,83283,Open,0.00843817431152784
47,84791,Open,0.00859096379871951
48,89399,Open,0.00905784308053597
49,89046,Open,0.00902207737166418
50,209275,Open,0.021203594119388
51,90780,Open,0.00919776501807688
52,88891,Open,0.00900637288193294
53,84027,Open,0.00851355586223778
54,82689,Open,0.00837799065410618
55,101964,Open,0.0103309199416523
56,89123,Open,0.0090298789568855
57,81983,Open,0.0083064592363626
58,86433,Open,0.00875733007058206
59,82550,Open,0.00836390727299236
60,155110,Open,0.0157156348529842
61,84952,Open,0.00860727620418228
62,86768,Open,0.00879127203225925
63,81818,Open,0.00828974155374547
64,87185,Open,0.00883352217560072
65,104587,Open,0.0105966804356203
66,85573,Open,0.00867019548239582
67,85743,Open,0.00868741976145589
68,89694,Open,0.00908773227066962
69,85804,Open,0.0086936002380598
70,129925,Open,0.0131639085698793
71,84699,Open,0.00858164242416935
72,90113,Open,0.00913018505258826
73,83997,Open,0.00851051628358013
74,87448,Open,0.00886016914849953
75,131420,Open,0.0133153809063193
76,90740,Open,0.00919371224653334
77,85108,Open,0.00862308201320211
78,87482,Open,0.00886361400431154
79,84432,Open,0.00855459017411618
80,158858,Open,0.0160953795466144
81,87082,Open,0.00882308628887608
82,86569,Open,0.00877110949383011
83,85025,Open,0.00861467251224925
84,88260,Open,0.0089424404108335
85,107361,Open,0.0108777401421651
86,86667,Open,0.0087810387841118
87,83441,Open,0.00845418275912484
88,94776,Open,0.00960263689527709
89,87144,Open,0.00882936808476858
90,135758,Open,0.0137549039802168
91,86237,Open,0.00873747149001868
92,91429,Open,0.00926352123637091
93,84766,Open,0.00858843081650479
94,88907,Open,0.00900799399055036
95,106137,Open,0.0107537253329326
96,89067,Open,0.00902420507672454
97,86443,Open,0.00875834326346794
98,91709,Open,0.00929189063717573
99,99883,Open,0.0101200745020993
