type,cent,mass,shadow
Open,0,0.0392757129863668,-1.35767846708781e-05
Open,5,0.0108927353968763,-8.39936902399842e-05
Open,10,0.013642540889172,-0.000176498200721414
Open,15,0.0110217148512496,-0.000313177921027492
Open,20,0.0161279030382514,0.000209426969512722
Open,25,0.0134199424121428,0.000264645981793533
Open,30,0.0132773861730985,-0.000297676069873428
Open,35,0.0106481506342233,-0.000437395368837166
Open,40,0.0157596074242317,4.75187463480735e-05
Open,45,0.0103825927788325,0.000584713614445051
Open,50,0.021203594119388,-0.000175687646412704
Open,55,0.0103309199416523,-0.000651888302779319
Open,60,0.0157156348529842,-0.000243368931189916
Open,65,0.0105966804356203,0.000163326693204889
Open,70,0.0131639085698793,0.000111957813890449
Open,75,0.0133153809063193,-0.000333543098033807
Open,80,0.0160953795466144,-0.0002684961147599
Open,85,0.0108777401421651,0.000161401626721706
Open,90,0.0137549039802168,9.18965947498979e-05
Open,95,0.0107537253329326,-1.62110861741827e-05
High,0,0.0333374908014751,0.0030346140125184
High,5,0.0104275785429658,0.000142860196909985
High,10,0.0132202420943345,0.000564145798861557
High,15,0.01100732751227,0.000326248109255425
High,20,0.0155194807102766,0.0012550420277475
High,25,0.0130257090602443,0.00113092589922642
High,30,0.0128203348622752,0.000385317254502603
High,35,0.0107595005323822,-0.000126851749312979
High,40,0.0155281941690952,0.000883605515781543
High,45,0.0106174508897809,0.0011096488486228
High,50,0.019495958829515,0.00178453662991174
High,55,0.0101545230602194,-0.000325538874235306
High,60,0.0152196769353428,0.000637703602376909
High,65,0.0105141052154205,0.000545604369049836
High,70,0.0129145618006626,0.0010026556798732
High,75,0.0129873090498693,0.000541348958929112
High,80,0.0156013466954562,0.0005325341808219
High,85,0.0110382298952896,0.000536485633076856
High,90,0.0136194400913738,0.00088320023862719
High,95,0.0111637644938509,0.000498490899856116
Low,0,0.0330962495753455,-0.00333755868539844
Low,5,0.0112658943367482,-0.000596365332632744
Low,10,0.0138705092884964,-0.00125798028711657
Low,15,0.0112305339050308,-0.000782387546481489
Low,20,0.0157342776020845,-0.000734666161556239
Low,25,0.0131774853545501,-0.000776207069877584
Low,30,0.0132020046223886,-0.00128260087424361
Low,35,0.0107092461652422,-0.000912380193740717
Low,40,0.0154010384619165,-0.000799307867675793
Low,45,0.0101682011641789,0.000393017520435341
Low,50,0.0198163304200323,-0.00252670041882354
Low,55,0.010748963326369,-0.00133903571798749
Low,60,0.015810267068526,-0.00119283198455408
Low,65,0.0109318446422715,-0.000387647598140143
Low,70,0.0128875095506094,-0.000472654481266013
Low,75,0.01316816398,-0.00127338081898205
Low,80,0.0156906089887028,-0.00149597929601129
Low,85,0.0110458288419337,-0.000316521457550917
Low,90,0.0133904584991635,-0.00082636011772896
Low,95,0.0104595954381598,-0.000307909318020883
Close,0,0.029155030568536,5.79546330727043e-05
Close,5,0.0106555469422903,-0.000121279188440605
Close,10,0.012868157566489,-5.33952650862146e-05
Close,15,0.0108243448770789,-0.000239924075377903
Close,20,0.0150175449546085,0.000228576315055976
Close,25,0.0124019875196927,0.000118948844803065
Close,30,0.0125152624843348,-0.000303147311457216
Close,35,0.0104493621900124,-0.000484508838030884
Close,40,0.0150799576363791,0.000123406893500965
Close,45,0.0102106539460975,0.00056617218463333
Close,50,0.0173660247448046,-0.000101521927165818
Close,55,0.0101438845349176,-0.000683702559396152
Close,60,0.0149568547007439,-0.000137794232480552
Close,65,0.0104158255054895,0.000183286593056853
Close,70,0.0124724044252618,0.000322397976289057
Close,75,0.0123788867218945,-0.0002729541634578
Close,80,0.0150266636905814,-0.000297473431296252
Close,85,0.010702660411484,0.000207907180183892
Close,90,0.0129857892605404,3.62723053147322e-05
Close,95,0.0105697295048557,7.11261405892255e-05
